"Sr. No.",CITY1,CITY2,"PASSENGERS TO CITY2","PASSENGERS FROM CITY2",TOTAL
1,MUMBAI,DELHI,2784752,2831167,5615919
2,BENGALURU,DELHI,2221129,2243352,4464481
3,BENGALURU,MUMBAI,1820305,1841479,3661784
4,DELHI,SRINAGAR,1404653,1397251,2801904
5,DELHI,KOLKATA,1396825,1307098,2703923
6,DELHI,HYDERABAD,1306104,1291720,2597824
7,DELHI,PUNE,1275732,1256205,2531937
8,MUMBAI,DABOLIM,1120143,1144547,2264690
9,MUMBAI,CHENNAI,1050077,1055365,2105442
10,AHMEDABAD,DELHI,1040187,1049451,2089638
11,CHENNAI,DELHI,1015722,1030650,2046372
12,DABOLIM,DELHI,984085,974779,1958864
13,AHMEDABAD,MUMBAI,927558,906175,1833733
14,BENGALURU,HYDERABAD,890200,903306,1793506
15,BENGALURU,KOLKATA,886589,856233,1742822
16,MUMBAI,HYDERABAD,841906,843582,1685488
17,MUMBAI,KOLKATA,809522,787663,1597185
18,DELHI,PATNA,785658,744467,1530125
19,BENGALURU,PUNE,743512,769404,1512916
20,DELHI,GUWAHATI,732424,757349,1489773
21,BENGALURU,KOCHI,707509,713924,1421433
22,DELHI,LUCKNOW,669044,674098,1343142
23,BENGALURU,CHENNAI,559293,582832,1142125
24,CHENNAI,HYDERABAD,557779,554070,1111849
25,MUMBAI,JAIPUR,547010,538515,1085525
26,BHUBANESWAR,DELHI,512850,527480,1040330
27,BENGALURU,DABOLIM,499317,509844,1009161
28,BAGDOGRA,DELHI,483738,522324,1006062
29,GUWAHATI,KOLKATA,463031,489113,952144
30,AHMEDABAD,BENGALURU,468268,463907,932175
31,KOCHI,DELHI,468361,462253,930614
32,HYDERABAD,KOLKATA,471020,437479,908499
33,DELHI,LEH,466119,438974,905093
34,DABOLIM,HYDERABAD,455934,441634,897568
35,DELHI,RANCHI,452736,444696,897432
36,CHENNAI,KOLKATA,439802,427764,867566
37,AGARTALA,KOLKATA,429146,413052,842198
38,MUMBAI,CHANDIGARH,421355,409329,830684
39,AMRITSAR,DELHI,407749,418884,826633
40,DELHI,JAMMU,395093,430245,825338
41,MUMBAI,LUCKNOW,422306,399200,821506
42,CHENNAI,COIMBATORE,401025,391409,792434
43,MUMBAI,KOCHI,391446,395623,787069
44,DELHI,VARANASI,389035,369874,758909
45,MUMBAI,NAGPUR,368998,387947,756945
46,DELHI,INDORE,377512,375651,753163
