S.No.,CITY1,CITY2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2",TOTAL
1,AGARTALA,AHMEDABAD,359,147,506
2,AGARTALA,BENGALURU,"4,757","5,866","10,623"
3,AGARTALA,DELHI,"6,142","6,425","12,567"
4,AGARTALA,DIBRUGARH,65,0,65
5,AGARTALA,GUWAHATI,"9,583","11,031","20,614"
6,AGARTALA,IMPHAL,"1,386","2,863","4,249"
7,AGARTALA,KOLKATA,"30,666","32,561","63,227"
8,AGARTALA,SHILLONG,393,420,813
9,AGATTI ISLAND,KOCHI,"1,765","2,312","4,077"
10,AGRA,AHMEDABAD,"1,922","2,016","3,938"
11,AGRA,BENGALURU,"2,927","2,952","5,879"
12,AGRA,BHOPAL,196,259,455
13,AGRA,JAIPUR,"1,091","1,041","2,132"
14,AGRA,LUCKNOW,777,636,"1,413"
15,AGRA,MUMBAI,"2,011","1,985","3,996"
16,AHMEDABAD,AMRITSAR,"5,359","5,181","10,540"
17,AHMEDABAD,BAGDOGRA,"1,204","1,014","2,218"
18,AHMEDABAD,BELGAUM,"1,140","1,230","2,370"
19,AHMEDABAD,BENGALURU,"34,025","33,230","67,255"
20,AHMEDABAD,BHOPAL,"2,267","2,280","4,547"
21,AHMEDABAD,BHUBANESWAR,"2,427","2,394","4,821"
22,AHMEDABAD,BHUJ,"1,331","1,398","2,729"
23,AHMEDABAD,CHANDIGARH,"4,716","4,535","9,251"
24,AHMEDABAD,CHENNAI,"19,301","19,523","38,824"
25,AHMEDABAD,COIMBATORE,954,771,"1,725"
26,AHMEDABAD,DABOLIM,"11,304","10,906","22,210"
27,AHMEDABAD,DehraDun,"5,178","4,070","9,248"
28,AHMEDABAD,DELHI,"103,380","101,995","205,375"
29,AHMEDABAD,DIU,"1,576","1,687","3,263"
30,AHMEDABAD,DURGAPUR,292,253,545
31,AHMEDABAD,Goa,"14,827","15,679","30,506"
32,AHMEDABAD,HYDERABAD,"17,950","17,622","35,572"
33,AHMEDABAD,INDORE,"6,507","6,369","12,876"
34,AHMEDABAD,JAIPUR,"8,201","7,890","16,091"
35,AHMEDABAD,JAISALMER,"1,409","1,911","3,320"
36,AHMEDABAD,JAMMU,"2,791","2,802","5,593"
37,AHMEDABAD,JODHPUR,"2,178","2,010","4,188"
38,AHMEDABAD,KOCHI,"5,279","5,320","10,599"
39,AHMEDABAD,KOLKATA,"15,798","15,237","31,035"
40,AHMEDABAD,LUCKNOW,"12,447","12,600","25,047"
41,AHMEDABAD,MUMBAI,"98,595","98,882","197,477"
42,AHMEDABAD,NAGPUR,"4,403","4,380","8,783"
43,AHMEDABAD,NASIK,"3,762","3,741","7,503"
44,AHMEDABAD,PATNA,"5,552","5,406","10,958"
45,AHMEDABAD,PORT BLAIR,396,0,396
46,AHMEDABAD,PUNE,"19,218","20,344","39,562"
47,AHMEDABAD,RAIPUR,"2,479","2,424","4,903"
48,AHMEDABAD,RANCHI,"3,000","2,957","5,957"
49,AHMEDABAD,SRINAGAR,"4,336","4,558","8,894"
50,AHMEDABAD,TRIVANDRUM,141,280,421
51,AHMEDABAD,UDAIPUR,"1,020",908,"1,928"
52,AHMEDABAD,VADODARA,277,0,277
53,AHMEDABAD,VARANASI,"4,415","4,545","8,960"
54,AHMEDABAD,VISAKHAPATNAM,354,317,671
55,AHMEDABAD,Ayodhya International Airport ,"1,484","1,309","2,793"
56,AIZAWL,DELHI,"2,884","3,091","5,975"
57,AIZAWL,GUWAHATI,"6,352","5,493","11,845"
58,AIZAWL,IMPHAL,"1,066",914,"1,980"
59,AIZAWL,KOLKATA,"6,456","5,627","12,083"
60,AIZAWL,SHILLONG,953,638,"1,591"
61,Kishangarh,NAGPUR,"1,182","1,312","2,494"
62,Kishangarh,PUNE,"1,058","1,246","2,304"
63,Kishangarh,SURAT,636,687,"1,323"
64,ALLAHABAD,BENGALURU,"3,579","3,138","6,717"
65,ALLAHABAD,BHOPAL,755,878,"1,633"
66,ALLAHABAD,BHUBANESWAR,"1,677","1,654","3,331"
67,ALLAHABAD,BILASPUR,470,452,922
68,ALLAHABAD,DehraDun,720,530,"1,250"
69,ALLAHABAD,DELHI,"4,771","4,630","9,401"
70,ALLAHABAD,LUCKNOW,"1,190","1,073","2,263"
71,ALLAHABAD,MUMBAI,"4,139","4,270","8,409"
72,ALLAHABAD,PUNE,"1,545","1,644","3,189"
73,AMRITSAR,BENGALURU,"3,579","4,133","7,712"
74,AMRITSAR,CHENNAI,140,0,140
75,AMRITSAR,DELHI,"42,781","47,465","90,246"
76,AMRITSAR,Goa,"2,673","2,784","5,457"
77,AMRITSAR,HYDERABAD,"3,870","4,378","8,248"
78,AMRITSAR,KULLU,101,85,186
79,AMRITSAR,MUMBAI,"17,463","17,502","34,965"
80,AMRITSAR,PUNE,"4,979","5,104","10,083"
81,AMRITSAR,SIMLA,131,95,226
82,AMRITSAR,SRINAGAR,"3,521","3,517","7,038"
83,AURANGABAD,BENGALURU,"2,848","2,951","5,799"
84,AURANGABAD,DELHI,"9,932","9,380","19,312"
85,AURANGABAD,HYDERABAD,"4,077","3,377","7,454"
86,AURANGABAD,MUMBAI,"12,890","11,695","24,585"
87,BAGDOGRA,BENGALURU,"30,094","29,330","59,424"
88,BAGDOGRA,CHENNAI,"5,943","6,157","12,100"
89,BAGDOGRA,DELHI,"46,195","45,855","92,050"
90,BAGDOGRA,DIBRUGARH,"2,711","2,473","5,184"
91,BAGDOGRA,GUWAHATI,"1,896","4,325","6,221"
92,BAGDOGRA,HYDERABAD,"5,401","5,435","10,836"
93,BAGDOGRA,KOLKATA,"37,716","36,675","74,391"
94,BAGDOGRA,MUMBAI,"10,589","10,838","21,427"
95,BAREILLY,BENGALURU,"1,154","1,185","2,339"
96,BAREILLY,DELHI,542,539,"1,081"
97,BAREILLY,MUMBAI,"2,071","2,092","4,163"
98,BELGAUM,BENGALURU,"4,223","3,872","8,095"
99,BELGAUM,DELHI,"3,519","2,975","6,494"
100,BELGAUM,HYDERABAD,"1,564","1,515","3,079"
101,BELGAUM,JAIPUR,667,615,"1,282"
102,BELGAUM,JODHPUR,827,791,"1,618"
103,BELGAUM,MUMBAI,"1,036","1,050","2,086"
104,BELGAUM,NAGPUR,552,567,"1,119"
105,BELGAUM,SURAT,721,660,"1,381"
106,BELGAUM,TIRUPATI,"1,031","1,037","2,068"
107,BENGALURU,BHOPAL,"6,180","6,499","12,679"
108,BENGALURU,BHUBANESWAR,"35,557","36,945","72,502"
109,BENGALURU,CHANDIGARH,"19,180","19,573","38,753"
110,BENGALURU,CHENNAI,"48,808","51,988","100,796"
111,BENGALURU,COIMBATORE,"9,083","10,012","19,095"
112,BENGALURU,DABOLIM,"46,358","49,166","95,524"
113,BENGALURU,DARBHANGA,"3,613","3,651","7,264"
114,BENGALURU,DehraDun,"3,005","2,929","5,934"
115,BENGALURU,DELHI,"202,724","201,415","404,139"
116,BENGALURU,DURGAPUR,"4,618","4,610","9,228"
117,BENGALURU,Goa,"26,963","30,530","57,493"
118,BENGALURU,GORAKHPUR,201,35,236
119,BENGALURU,GUWAHATI,"34,368","32,741","67,109"
120,BENGALURU,GWALIOR,993,"2,160","3,153"
121,BENGALURU,HUBLI,"3,943","4,248","8,191"
122,BENGALURU,HYDERABAD,"88,636","92,409","181,045"
123,BENGALURU,IMPHAL,778,"1,497","2,275"
124,BENGALURU,INDORE,"13,722","14,566","28,288"
125,BENGALURU,JAIPUR,"30,206","29,274","59,480"
126,BENGALURU,JAMMU,768,871,"1,639"
127,BENGALURU,JAMNAGAR,"1,196","1,135","2,331"
128,BENGALURU,JHARSUGUDA,"4,745","4,868","9,613"
129,BENGALURU,JODHPUR,"5,319","5,292","10,611"
130,BENGALURU,Cuddapah,406,532,938
131,BENGALURU,KALABURAGI,"2,004","2,110","4,114"
132,BENGALURU,KANNUR,"7,763","7,959","15,722"
133,BENGALURU,KANPUR,318,349,667
134,BENGALURU,KOCHI,"57,592","60,406","117,998"
135,BENGALURU,KOLHAPUR,"2,944","3,093","6,037"
136,BENGALURU,KOLKATA,"97,699","94,467","192,166"
137,BENGALURU,KOZHIKODE,"7,673","9,564","17,237"
138,BENGALURU,KURNOOL,405,590,995
139,BENGALURU,LUCKNOW,"32,573","33,966","66,539"
140,BENGALURU,MADURAI,"7,875","8,563","16,438"
141,BENGALURU,MANGALORE,"25,564","27,945","53,509"
142,BENGALURU,MUMBAI,"185,646","193,499","379,145"
143,BENGALURU,NAGPUR,"12,053","12,137","24,190"
144,BENGALURU,PATNA,"20,101","20,511","40,612"
145,BENGALURU,PONDICHERRY,"2,054","2,142","4,196"
146,BENGALURU,PORT BLAIR,"8,952","9,441","18,393"
147,BENGALURU,PUNE,"78,547","80,425","158,972"
148,BENGALURU,RAIPUR,"9,562","9,868","19,430"
149,BENGALURU,RAJAHMUNDRY,"4,040","4,463","8,503"
150,BENGALURU,Rajkot International Airport,"2,898","2,909","5,807"
151,BENGALURU,RANCHI,"17,519","18,653","36,172"
152,BENGALURU,SALEM,"1,080","1,589","2,669"
153,BENGALURU,SHIRDI,"7,547","7,580","15,127"
154,BENGALURU,Shivamogga Airport,"1,354","1,564","2,918"
155,BENGALURU,SRINAGAR,"1,281","1,538","2,819"
156,BENGALURU,SURAT,"10,367","10,536","20,903"
157,BENGALURU,TIRUCHIRAPALLY,"6,035","6,138","12,173"
158,BENGALURU,TIRUPATI,"1,948","2,078","4,026"
159,BENGALURU,TRIVANDRUM,"29,573","34,642","64,215"
160,BENGALURU,TUTICORIN,"2,227","2,107","4,334"
161,BENGALURU,UDAIPUR,"5,480","5,197","10,677"
162,BENGALURU,VADODARA,"1,910","1,870","3,780"
163,BENGALURU,VARANASI,"20,582","20,453","41,035"
164,BENGALURU,VIDYANAGAR,"1,497","1,743","3,240"
165,BENGALURU,VIJAYAWADA,"10,835","11,485","22,320"
166,BENGALURU,VISAKHAPATNAM,"19,905","20,830","40,735"
167,BENGALURU,Ayodhya International Airport ,"1,146",916,"2,062"
168,BHATINDA,DELHI,553,603,"1,156"
169,BHATINDA,GHAZIABAD,52,30,82
170,BHAVNAGAR,MUMBAI,"2,166","2,088","4,254"
171,BHAVNAGAR,PUNE,"2,165","2,088","4,253"
172,BHOPAL,DELHI,"27,621","26,147","53,768"
173,BHOPAL,Goa,"1,165","1,195","2,360"
174,BHOPAL,GWALIOR,166,0,166
175,BHOPAL,HYDERABAD,"2,211","2,213","4,424"
176,BHOPAL,JAIPUR,"2,139","1,925","4,064"
177,BHOPAL,KOCHI,260,358,618
178,BHOPAL,LUCKNOW,7,5,12
179,BHOPAL,MUMBAI,"13,911","13,667","27,578"
180,BHOPAL,RAIPUR,"2,195","2,218","4,413"
181,BHOPAL,UDAIPUR,513,489,"1,002"
182,BHUBANESWAR,CHENNAI,"9,926","9,133","19,059"
183,BHUBANESWAR,DELHI,"48,161","47,695","95,856"
184,BHUBANESWAR,Goa,"1,564","1,653","3,217"
185,BHUBANESWAR,GUWAHATI,"5,135","5,056","10,191"
186,BHUBANESWAR,HYDERABAD,"13,820","14,315","28,135"
187,BHUBANESWAR,JAMSHEDPUR,190,185,375
188,BHUBANESWAR,JEYPORE,341,340,681
189,BHUBANESWAR,JHARSUGUDA,671,621,"1,292"
190,BHUBANESWAR,KOLKATA,"24,102","23,692","47,794"
191,BHUBANESWAR,LUCKNOW,"1,548","1,565","3,113"
192,BHUBANESWAR,MUMBAI,"24,522","24,798","49,320"
193,BHUBANESWAR,PUNE,"9,041","9,115","18,156"
194,BHUBANESWAR,RAIPUR,"2,062","1,987","4,049"
195,BHUBANESWAR,RANCHI,"1,317","1,295","2,612"
196,BHUBANESWAR,ROURKELA,36,85,121
197,BHUBANESWAR,Utkela,59,98,157
198,BHUBANESWAR,VARANASI,749,491,"1,240"
199,BHUJ,MUMBAI,"1,581","1,792","3,373"
200,BIKANER,DELHI,272,281,553
201,BILASPUR,DELHI,0,69,69
202,BILASPUR,JABALPUR,620,675,"1,295"
203,CHANDIGARH,CHENNAI,"4,838","5,442","10,280"
204,CHANDIGARH,DABOLIM,"5,709","5,142","10,851"
205,CHANDIGARH,DehraDun,0,77,77
206,CHANDIGARH,DELHI,"26,291","26,657","52,948"
207,CHANDIGARH,Goa,"4,621","4,697","9,318"
208,CHANDIGARH,GUWAHATI,520,702,"1,222"
209,CHANDIGARH,HYDERABAD,"5,925","6,076","12,001"
210,CHANDIGARH,INDORE,"1,932","2,079","4,011"
211,CHANDIGARH,JAIPUR,"4,861","5,018","9,879"
212,CHANDIGARH,KOCHI,92,92,184
213,CHANDIGARH,KOLKATA,"4,649","5,630","10,279"
214,CHANDIGARH,LEH,"2,424","2,857","5,281"
215,CHANDIGARH,LUCKNOW,"2,216","2,138","4,354"
216,CHANDIGARH,MUMBAI,"26,949","27,453","54,402"
217,CHANDIGARH,PATNA,"2,031","2,071","4,102"
